"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"66","GTLM","Dirk Mueller","8","51.170","6:54.229","Green","Track","0.459","0.829","9.504","10.171","13.488","5.205","8.810","2.704","150.896"
"3","GTLM","Antonio Garcia","8","51.151","6:55.179","Green","Track","0.454","0.816","9.635","10.029","13.368","5.207","8.943","2.699","152.558"
"4","GTLM","Oliver Gavin","8","50.959","6:55.524","Green","Track","0.450","0.807","9.626","10.121","13.284","5.137","8.862","2.672","153.914"
"67","GTLM","Ryan Briscoe","8","51.138","6:56.436","Green","Track","0.460","0.820","9.426","10.056","13.443","5.215","8.988","2.730","150.568"
"24","GTLM","John Edwards","8","51.393","6:57.398","Green","Track","0.458","0.844","9.683","10.097","13.377","5.211","9.014","2.709","151.226"
"48","GTD","Corey Lewis","7","1:27.767","6:58.181","Green","Pit","0.470","0.842","16.151","11.628","14.762","5.776","12.181","25.957","147.365"
"86","GTD","Trent Hindman","8","52.575","7:06.638","Green","Track","0.473","0.845","9.691","10.492","13.876","5.336","9.087","2.775","146.430"
"33","GTD","Ben Keating","8","53.020","7:08.948","Green","Track","0.466","0.829","9.887","10.608","13.791","5.482","9.198","2.759","148.630"
"96","GTD","Robby Foley","8","52.918","7:09.715","Green","Track","0.468","0.835","9.933","10.542","13.725","5.429","9.228","2.758","147.994"
"9","GTD","Zacharie Robichon","8","53.039","7:10.520","Green","Track","0.472","0.843","9.782","10.529","13.861","5.443","9.324","2.785","146.740"
"14","GTD","Richard Heistand","8","52.744","7:11.742","Green","Track","0.472","0.841","9.794","10.495","13.803","5.387","9.177","2.775","146.740"
"73","GTD","Marco Seefried","8","53.065","7:12.432","Green","Track","0.469","0.838","9.788","10.566","13.950","5.455","9.236","2.763","147.679"
"63","GTD","Cooper MacNeil","8","53.020","7:13.149","Green","Track","0.471","0.842","9.868","10.513","13.767","5.490","9.288","2.781","147.052"
"91","GTD","Anthony Imperato","8","52.890","7:13.958","Green","Track","0.475","0.848","9.682","10.497","13.745","5.431","9.412","2.800","145.813"
"76","GTD","Matt Plumb","8","53.074","7:15.160","Green","Track","0.473","0.844","9.843","10.485","13.997","5.428","9.206","2.798","146.430"
"57","GTD","Christina Nielsen","8","53.717","7:16.996","Green","Track","0.487","0.864","10.055","10.685","13.986","5.489","9.336","2.815","142.220"
"11","GTD","John Potter","8","53.973","7:17.486","Green","Track","0.473","0.842","10.191","10.787","14.053","5.465","9.348","2.814","146.430"
"12","GTD","Frank Montecalvo","8","53.327","7:18.428","Green","Track","0.472","0.842","9.862","10.629","14.012","5.424","9.299","2.787","146.740"
"912","GTLM","Laurens Vanthoor","9","51.163","7:43.368","Green","Track","0.458","0.829","9.580","10.121","13.325","5.208","8.941","2.701","151.226"
"911","GTLM","Nick Tandy","9","51.165","7:43.731","Green","Track","0.456","0.813","9.617","10.111","13.317","5.234","8.915","2.702","151.889"
"25","GTLM","Connor De Phillippi","9","51.146","7:44.694","Green","Track","0.455","0.810","9.747","10.064","13.309","5.222","8.869","2.670","152.223"
"66","GTLM","Dirk Mueller","9","51.179","7:45.408","Green","Track","0.461","0.834","9.519","10.163","13.468","5.245","8.796","2.693","150.242"
"3","GTLM","Antonio Garcia","9","51.264","7:46.443","Green","Track","0.456","0.815","9.720","10.046","13.359","5.238","8.942","2.688","151.889"
"4","GTLM","Oliver Gavin","9","51.536","7:47.060","Green","Track","0.452","0.825","9.840","10.078","13.524","5.232","8.909","2.676","153.233"
"67","GTLM","Ryan Briscoe","9","51.277","7:47.713","Green","Track","0.463","0.827","9.468","10.086","13.509","5.229","8.978","2.717","149.593"
"24","GTLM","John Edwards","9","51.478","7:48.876","Green","Track","0.458","0.843","9.718","10.116","13.398","5.252","8.998","2.695","151.226"
"48","GTD","Corey Lewis","8","1:00.735","7:58.916","Green","Track","0.000","0.000","12.177","10.589","13.965","5.396","9.286","2.802","0.000"
"86","GTD","Trent Hindman","9","52.874","7:59.512","Green","Track","0.473","0.846","9.777","10.536","13.864","5.395","9.206","2.777","146.430"
"33","GTD","Ben Keating","9","52.731","8:01.679","Green","Track","0.466","0.833","9.884","10.562","13.627","5.453","9.164","2.742","148.630"
"96","GTD","Robby Foley","9","53.070","8:02.785","Green","Track","0.468","0.837","9.863","10.540","13.865","5.443","9.285","2.769","147.994"
"9","GTD","Zacharie Robichon","9","52.796","8:03.316","Green","Track","0.473","0.843","9.820","10.384","13.747","5.427","9.320","2.782","146.430"
"14","GTD","Richard Heistand","9","53.014","8:04.756","Green","Track","0.471","0.840","9.884","10.556","13.818","5.421","9.245","2.779","147.052"
"73","GTD","Marco Seefried","9","52.803","8:05.235","Green","Track","0.469","0.839","9.835","10.469","13.775","5.414","9.239","2.763","147.679"
"63","GTD","Cooper MacNeil","9","52.989","8:06.138","Green","Track","0.471","0.842","9.820","10.434","13.842","5.492","9.303","2.785","147.052"
"91","GTD","Anthony Imperato","9","53.138","8:07.096","Green","Track","0.476","0.850","9.781","10.539","13.844","5.399","9.439","2.810","145.507"
"76","GTD","Matt Plumb","9","53.114","8:08.274","Green","Track","0.474","0.845","9.857","10.495","13.948","5.451","9.252","2.792","146.121"
"57","GTD","Christina Nielsen","9","53.662","8:10.658","Green","Track","0.477","0.851","9.793","10.699","14.156","5.541","9.335","2.810","145.202"
"11","GTD","John Potter","9","53.872","8:11.358","Green","Track","0.477","0.849","9.819","10.609","14.345","5.531","9.420","2.822","145.202"
"12","GTD","Frank Montecalvo","9","53.316","8:11.744","Green","Track","0.472","0.843","9.785","10.626","13.914","5.473","9.408","2.795","146.740"
"912","GTLM","Laurens Vanthoor","10","51.189","8:34.557","Green","Track","0.459","0.831","9.634","10.157","13.242","5.235","8.931","2.700","150.896"
"911","GTLM","Nick Tandy","10","51.265","8:34.996","Green","Track","0.458","0.841","9.664","10.202","13.283","5.212","8.909","2.696","151.226"
"25","GTLM","Connor De Phillippi","10","51.285","8:35.979","Green","Track","0.451","0.806","9.641","10.120","13.323","5.333","8.928","2.683","153.573"
"66","GTLM","Dirk Mueller","10","51.250","8:36.658","Green","Track","0.458","0.830","9.568","10.127","13.460","5.270","8.838","2.699","151.226"
"3","GTLM","Antonio Garcia","10","51.280","8:37.723","Green","Track","0.455","0.812","9.659","10.123","13.386","5.240","8.926","2.679","152.223"
